y,time,logy,logy_cycle,logy_trend,logy_sa,y_sa,logy_sa_cycle,logy_sa_trend
8179884207.666667,2012-01-01,22.824943831918905,-0.012654326289354145,22.83759815820826,22.83090077308112,8228756717.417384,,
7921544747.333333,2012-04-01,22.792852067609385,-0.041948745393543874,22.83480081300293,22.82668479852596,8194137516.589132,,
8198690681.333333,2012-07-01,22.827240305459398,-0.004334208865078182,22.831574514324476,22.822061052443946,8156337361.854183,,
8426507236.666667,2012-10-01,22.85464819767861,0.026670289980067707,22.827977907698543,22.8176302653679,8120278311.662396,,
7994850198.333333,2013-01-01,22.802063446137883,-0.022003483632339282,22.824066929770222,22.816084048096048,8107732299.014958,,
7822626125.333333,2013-04-01,22.78028615678204,-0.03962802933380516,22.819914186115845,22.815294600378103,8101334194.070751,,
8200299198.0,2013-07-01,22.827436478111938,0.011857947977478744,22.81557853013446,22.814078118292617,8091485058.018501,,
8371814158.333333,2013-10-01,22.84813644328251,0.0370423955757353,22.811094047706774,22.807801040721706,8040853254.771886,,
7969147368.0,2014-01-01,22.798843343850088,-0.007658892080883106,22.80650223593097,22.792520404448855,7918917898.40474,,
7463494988.0,2014-04-01,22.73328963850254,-0.06857810489993099,22.80186774340247,22.775935419335912,7788665862.585434,,
7605883323.0,2014-07-01,22.7521879062086,-0.04506252570053704,22.797250431909138,22.7644346191511,7699603100.986384,,
7904555962.333333,2014-10-01,22.790705134282316,-0.001962167640950696,22.792667301923267,22.759540112568825,7662009419.239183,,
7698322241.666667,2015-01-01,22.76426825137178,-0.023838938466809623,22.78810718983859,22.765571215703233,7708359418.581296,,
7429383206.666667,2015-04-01,22.72870867832265,-0.054849027371457026,22.783557705694108,22.777658266637633,7802096110.361895,,
8018503869.333333,2015-07-01,22.80501769146379,0.026026131271521535,22.778991560192267,22.786113452590847,7868343958.063487,,
8259019860.666667,2015-10-01,22.834571756502292,0.06022457310886509,22.774347183393427,22.789794869321717,7897363995.80589,,
7883541878.333333,2016-01-01,22.78804311677755,0.018463845087559605,22.76957927168999,22.78181550347371,7834598785.558861,,
7471675788.666667,2016-04-01,22.734385146763834,-0.03029501506874155,22.764680161832576,22.760325761518963,7668031434.180465,,
7480057351.666667,2016-07-01,22.73550629623852,-0.024147434236439835,22.75965373047496,22.742144374504846,7529875723.997691,,
7455107583.333333,2016-10-01,22.732165216089616,-0.02231970379690651,22.754484919886522,22.739871695495932,7512782164.943903,,
7551398094.0,2017-01-01,22.744998561077256,-0.004145019112989701,22.749143580190246,22.750049446644617,7589635827.563043,,
7659773648.0,2017-04-01,22.759248270392852,0.015662658698609278,22.743585611694243,22.763419145671243,7691788326.751443,,
7915313848.0,2017-07-01,22.792065181799003,0.05430085772932358,22.73776432406968,22.774352486798204,7776346682.753828,,
7840464545.0,2017-10-01,22.782563922742103,0.05092110659268201,22.73164281614942,22.776693937703577,7794575949.873324,,
7836566143.333333,2018-01-01,22.78206658344048,0.05684845863805421,22.725218124802424,22.76344148427514,7691960152.48331,,
7520600724.333333,2018-04-01,22.740911855272604,0.022392742683347677,22.718519112589256,22.735935187042532,7483266167.54491,,
7250831359.333333,2018-07-01,22.704381969491738,-0.007228202865416478,22.711610172357155,22.704393675882717,7250916240.896977,,
6868398199.0,2018-10-01,22.650196757188525,-0.05437293522899722,22.70456969241752,22.67952224558661,7072799770.351438,,
6950654465.0,2019-01-01,22.662101659715518,-0.03536988373948091,22.697471543455,,,,
6949290025.0,2019-04-01,22.66190533662871,-0.02845027644098508,22.690355613069695,,,,
